,0
0,0.9423408337694051
1,0.627906976744186
2,0.6612244897959184
3,0.6441351888667991
4,0.28893921545801826
5,0.9662282690854119
6,0.6509433962264151
7,0.8448979591836735
8,0.7353463587921848
9,0.23619909813724715
10,0.9575184603756033
11,0.6215384615384615
12,0.8244897959183674
13,0.7087719298245614
14,0.2552268331773164
